bath,balcony,price,total_sqft_float,bhk,price_per_sqft
1.0,0.0,35.0,527.0,1,6641.366223908918
1.0,1.0,50.0,670.0,1,7462.686567164179
2.0,1.0,70.0,1100.0,2,6363.636363636364
3.0,2.0,150.0,1672.0,3,8971.291866028709
3.0,3.0,149.0,1750.0,3,8514.285714285714
3.0,2.0,160.0,1670.0,3,9580.838323353293
3.0,2.0,150.0,1750.0,3,8571.42857142857
2.0,2.0,70.0,1296.0,2,5401.234567901234
2.0,3.0,44.0,1250.0,3,3520.0
2.0,2.0,40.0,1250.0,2,3200.0
2.0,2.0,40.0,1170.0,2,3418.803418803419
2.0,2.0,65.0,1425.0,3,4561.403508771929
2.0,2.0,43.0,947.0,2,4540.654699049631
2.0,2.0,36.0,1130.0,2,3185.8407079646017
2.0,2.0,76.0,1417.0,3,5363.443895553987
2.0,1.0,58.0,1230.0,2,4715.447154471544
3.0,2.0,75.0,1705.0,3,4398.826979472141
2.0,1.0,47.0,1116.0,2,4211.469534050179
2.0,2.0,40.0,991.0,2,4036.326942482341
3.0,1.0,71.0,1700.0,3,4176.470588235294
1.0,1.0,27.0,550.0,1,4909.090909090909
2.0,2.0,70.0,1450.0,3,4827.586206896552
1.0,1.0,17.0,600.0,1,2833.3333333333335
1.0,1.0,35.0,535.0,1,6542.056074766355
1.0,1.0,25.5,700.0,1,3642.8571428571427
1.0,0.0,25.25,510.0,1,4950.980392156863
1.0,1.0,25.25,510.0,1,4950.980392156863
1.0,1.0,52.0,905.0,1,5745.85635359116
2.0,1.0,110.0,600.0,3,18333.333333333332
6.0,3.0,150.0,1200.0,11,12500.0
11.0,0.0,170.0,1200.0,11,14166.666666666666
1.0,1.0,200.0,1800.0,1,11111.111111111111
15.0,0.0,125.0,1250.0,14,10000.0
18.0,1.5843757375501535,200.0,1200.0,18,16666.666666666668
3.0,2.0,85.0,1540.0,3,5519.480519480519
5.0,1.0,250.0,1800.0,4,13888.888888888889
1.0,0.0,45.0,600.0,1,7500.0
7.0,0.0,235.0,1200.0,8,19583.333333333332
3.0,1.0,90.0,600.0,3,15000.0
2.0,1.0,67.0,1250.0,2,5360.0
3.0,2.0,125.0,600.0,3,20833.333333333332
4.0,2.0,125.0,600.0,3,20833.333333333332
3.0,2.0,194.0,1630.0,3,11901.840490797545
6.0,2.0,125.0,1200.0,6,10416.666666666666
2.0,3.0,235.0,1875.0,3,12533.333333333334
3.0,2.0,60.0,1000.0,2,6000.0
4.0,2.0,85.0,930.0,7,9139.78494623656
4.0,1.5843757375501535,104.0,700.0,8,14857.142857142857
2.0,0.0,130.0,1200.0,3,10833.333333333334
2.0,2.0,148.0,1235.0,2,11983.805668016194
3.0,1.5843757375501535,115.0,1760.0,3,6534.090909090909
3.0,2.0,50.0,1700.0,8,2941.176470588235
2.0,3.0,110.0,1415.0,2,7773.851590106007
2.0,2.0,65.5,860.0,2,7616.279069767442
3.0,2.0,53.0,1800.0,3,2944.4444444444443
2.0,2.0,45.0,1000.0,2,4500.0
5.0,1.0,350.0,1200.0,4,29166.666666666668
7.0,2.0,240.0,1200.0,8,20000.0
3.0,1.0,167.0,1875.0,3,8906.666666666666
5.0,1.5843757375501535,85.0,1500.0,5,5666.666666666667
2.0,1.0,100.0,1394.0,2,7173.601147776184
2.0,2.0,93.0,1077.0,2,8635.097493036212
2.0,2.0,50.0,840.0,1,5952.380952380952
3.0,3.0,131.0,1590.0,3,8238.993710691824
2.0,2.0,88.5,1180.0,2,7500.0
2.0,1.5843757375501535,86.0,1200.0,2,7166.666666666667
4.0,2.0,300.0,1200.0,4,25000.0
2.0,1.0,85.0,1205.0,2,7053.941908713693
3.0,1.0,400.0,1900.0,4,21052.63157894737
2.0,1.0,75.0,900.0,2,8333.333333333334
2.0,2.0,65.0,1350.0,3,4814.814814814815
2.0,1.0,67.0,1400.0,2,4785.714285714285
2.0,2.0,55.0,1200.0,2,4583.333333333333
2.0,1.0,56.0,940.0,2,5957.446808510638
5.0,1.0,250.0,1790.0,6,13966.480446927375
3.0,3.0,92.0,1625.0,3,5661.538461538462
3.0,3.0,92.0,1625.0,3,5661.538461538462
5.0,2.0,55.0,950.0,5,5789.473684210527
3.0,2.0,90.0,1480.0,3,6081.081081081081
3.0,2.0,90.0,1480.0,3,6081.081081081081
3.0,3.0,110.0,1550.0,3,7096.774193548387
5.0,1.5843757375501535,300.0,1250.0,5,24000.0
4.0,3.0,235.0,1350.0,4,17407.40740740741
6.0,1.5843757375501535,400.0,825.0,6,48484.84848484849
3.0,3.0,223.0,1718.0,3,12980.209545983702
2.0,1.0,97.0,1000.0,2,9700.0
1.0,1.0,55.0,1000.0,2,5500.0
8.0,2.0,185.0,1350.0,8,13703.703703703704
3.0,1.0,190.0,1200.0,3,15833.333333333334
6.0,3.0,170.0,900.0,6,18888.88888888889
2.0,2.0,78.0,1040.0,2,7500.0
2.0,1.0,42.5,850.0,2,5000.0
2.0,2.0,38.0,1070.0,2,3551.4018691588785
2.0,1.0,50.75,1450.0,3,3500.0
2.0,1.0,40.25,1150.0,2,3500.0
1.0,1.0,26.0,525.0,1,4952.380952380952
2.0,2.0,47.25,1350.0,3,3500.0
2.0,2.0,47.25,1350.0,3,3500.0
2.0,1.0,35.0,700.0,2,5000.0
2.0,2.0,41.0,900.0,2,4555.555555555556
3.0,3.0,69.0,1681.0,3,4104.699583581201
2.0,2.0,47.25,1350.0,3,3500.0
2.0,1.0,40.25,1150.0,2,3500.0
4.0,1.0,130.0,1200.0,4,10833.333333333334
4.0,1.0,235.0,1200.0,4,19583.333333333332
4.0,2.0,220.0,1500.0,4,14666.666666666666
4.0,1.0,200.0,1350.0,4,14814.814814814816
4.0,3.0,240.0,1200.0,5,20000.0
